name=LX5;stock_length=45237;stock_width=35983;item_number=550
name=2B35;length=1027;width=767;profit=256861
name=2B36;length=1738;width=930;profit=577772
name=2B37;length=997;width=2531;profit=859478
name=2B38;length=1968;width=2420;profit=1832168
name=2B39;length=2828;width=1944;profit=2089958
name=2B40;length=1538;width=1786;profit=1003149
name=2B41;length=437;width=731;profit=74302
name=2B42;length=735;width=819;profit=197095
name=2B43;length=638;width=930;profit=197996
name=2B44;length=823;width=597;profit=162021
name=2B45;length=1006;width=566;profit=185632
name=2B46;length=468;width=792;profit=115562
name=2B47;length=934;width=646;profit=202398
name=2B48;length=2110;width=935;profit=686815
name=2B49;length=598;width=562;profit=133618
name=2B50;length=658;width=722;profit=161356
name=2B51;length=922;width=3722;profit=1220606
name=2B52;length=1492;width=1828;profit=1008803
name=2B53;length=1323;width=1737;profit=881125
name=2B54;length=935;width=2097;profit=670279
name=2B55;length=638;width=732;profit=162711
name=2B56;length=1092;width=1324;profit=514445
name=2B57;length=1223;width=2405;profit=1148983
name=2B58;length=895;width=747;profit=233042
name=2B59;length=547;width=891;profit=150981
name=2B60;length=533;width=2131;profit=353401
name=2B61;length=452;width=648;profit=84679
name=2B62;length=724;width=1266;profit=324211
name=2B63;length=923;width=673;profit=204064
name=2B64;length=825;width=631;profit=172319
name=2B65;length=724;width=938;profit=215324
name=2B66;length=754;width=448;profit=114338
name=2B67;length=924;width=314;profit=93235
name=2B68;length=2006;width=894;profit=648048
name=2B69;length=578;width=1932;profit=362629
name=2B70;length=729;width=1747;profit=476085
name=2B71;length=1976;width=948;profit=650068
name=2B72;length=1239;width=1207;profit=580544
name=2B73;length=1220;width=768;profit=334739
name=2B74;length=1737;width=931;profit=577771
name=2B75;length=994;width=2530;profit=856537
name=2B76;length=560;width=2420;profit=411761
name=2B77;length=720;width=1944;profit=495412
name=2B78;length=1536;width=788;profit=418466
name=2B79;length=646;width=1232;profit=295478
name=2B80;length=1026;width=898;profit=301728
name=2B81;length=234;width=248;profit=13347
name=2B82;length=543;width=125;profit=16321
name=2B83;length=236;width=542;profit=31978
name=2B84;length=128;width=124;profit=3968
name=2B85;length=1024;width=2788;profit=979861
name=2B86;length=9099;width=8725;profit=32998433
name=2B87;length=5470;width=3522;profit=7890293
name=2B88;length=1262;width=4528;profit=2269844
name=2B89;length=2355;width=1297;profit=1131177
name=2B90;length=1696;width=2546;profit=1645088
name=2B91;length=2546;width=5004;profit=5113891
name=2B92;length=586;width=894;profit=172882
name=2B93;length=566;width=896;profit=172426
name=2B94;length=564;width=1022;profit=168755
name=2B95;length=1254;width=2012;profit=976537
name=2B96;length=2014;width=1254;profit=939744
name=2B97;length=1256;width=1298;profit=617230
name=2B98;length=2350;width=2366;profit=2111835
name=2B99;length=2504;width=2506;profit=2477806
name=2B100;length=1296;width=2366;profit=1183265
name=3B1;length=437;width=1489;profit=155823
name=3B2;length=233;width=1319;profit=70436
name=3B3;length=238;width=930;profit=54990
name=3B4;length=822;width=638;profit=180326
name=3B5;length=1005;width=1093;profit=371011
name=3B6;length=269;width=1221;profit=81131
name=3B7;length=633;width=893;profit=190281
name=3B8;length=1111;width=345;profit=133645
name=3B9;length=598;width=532;profit=133617
name=3B10;length=658;width=922;profit=202487
name=3B11;length=733;width=1829;profit=491711
name=3B12;length=822;width=1740;profit=505036
name=3B13;length=933;width=1105;profit=352247
name=3B14;length=599;width=731;profit=157979
name=3B15;length=568;width=1322;profit=229167
name=3B16;length=1792;width=1006;profit=640405
name=3B17;length=1249;width=745;profit=334690
name=3B18;length=933;width=891;profit=269831
name=3B19;length=364;width=184;profit=11649
name=3B20;length=378;width=200;profit=12086
name=3B21;length=410;width=166;profit=13420
name=3B22;length=426;width=148;profit=13804
name=3B23;length=427;width=295;profit=27609
name=3B24;length=436;width=116;profit=10115
name=3B25;length=465;width=1005;profit=142003
name=3B26;length=521;width=205;profit=24639
name=3B27;length=520;width=350;profit=43680
name=3B28;length=540;width=530;profit=71550
name=3B29;length=548;width=1414;profit=238527
name=3B30;length=549;width=1881;profit=331957
name=3B31;length=554;width=496;profit=76663
name=3B32;length=554;width=758;profit=127569
name=3B33;length=556;width=496;profit=76664
name=3B34;length=558;width=658;profit=111102
name=3B35;length=560;width=474;profit=65251
name=3B36;length=573;width=591;profit=85625
name=3B37;length=532;width=976;profit=150999
name=3B38;length=542;width=1176;profit=182652
name=3B39;length=552;width=1574;profit=262230
name=3B40;length=562;width=1390;profit=240482
name=3B41;length=572;width=1490;profit=259064
name=3B42;length=582;width=1590;profit=287132
name=3B43;length=592;width=1690;profit=311893
name=3B44;length=602;width=1030;profit=213440
name=3B45;length=728;width=1722;profit=473913
name=3B46;length=1528;width=1448;profit=790590
name=3B47;length=1859;width=2647;profit=2033869
name=3B48;length=1724;width=466;profit=288884
name=3B49;length=929;width=1673;profit=542178
name=3B50;length=2029;width=931;profit=659519
name=3B51;length=1026;width=1636;profit=571044
name=3B52;length=758;width=746;profit=190539
name=3B53;length=928;width=916;profit=272365
name=3B54;length=2007;width=563;profit=426556
name=3B55;length=1028;width=1894;profit=654859
name=3B56;length=1377;width=1931;profit=1014115
name=3B57;length=728;width=1748;profit=476084
name=3B58;length=2100;width=944;profit=686345
name=3B59;length=1238;width=1206;profit=580543
name=3B60;length=1026;width=768;profit=256861
name=3B61;length=1739;width=931;profit=577773
name=3B62;length=998;width=2532;profit=859479
name=3B63;length=1968;width=2422;profit=1832169
name=3B64;length=2829;width=1943;profit=2089959
name=3B65;length=1537;width=1787;profit=1003148
name=3B66;length=436;width=732;profit=74302
name=3B67;length=734;width=820;profit=197094
name=3B68;length=636;width=932;profit=197995
name=3B69;length=822;width=598;profit=162020
name=3B70;length=1004;width=568;profit=185631
name=3B71;length=469;width=792;profit=115563
name=3B72;length=933;width=647;profit=202397
name=3B73;length=2111;width=931;profit=686813
name=3B74;length=601;width=559;profit=133621
name=3B75;length=654;width=722;profit=161353
name=3B76;length=924;width=3724;profit=1231280
name=3B77;length=1491;width=1829;profit=1008800
name=3B78;length=1322;width=1738;profit=881123
name=3B79;length=934;width=2098;profit=670278
name=3B80;length=640;width=730;profit=162712
name=3B81;length=1094;width=1322;profit=514445
name=3B82;length=1222;width=2406;profit=1148982
name=3B83;length=894;width=746;profit=214348
name=3B84;length=546;width=892;profit=150980
name=3B85;length=532;width=2136;profit=353569
name=3B86;length=452;width=646;profit=84678
name=3B87;length=724;width=1268;profit=324212
name=3B88;length=922;width=674;profit=204062
name=3B89;length=824;width=632;profit=172319
name=3B90;length=726;width=936;profit=220411
name=3B91;length=755;width=447;profit=114338
name=3B92;length=923;width=315;profit=93234
name=3B93;length=2007;width=893;profit=648049
name=3B94;length=579;width=1931;profit=362629
name=3B95;length=725;width=1749;profit=460600
name=3B96;length=1976;width=944;profit=648794
name=3B97;length=1236;width=1206;profit=580542
name=3B98;length=1228;width=766;profit=336843
name=3B99;length=1738;width=932;profit=577773
name=3B100;length=992;width=2532;profit=856068
name=3B101;length=560;width=2422;profit=413063
name=3B102;length=720;width=1942;profit=494390
name=3B103;length=1534;width=784;profit=418465
name=3B104;length=644;width=1232;profit=293673
name=3B105;length=1026;width=896;profit=301727
name=3B106;length=235;width=247;profit=13348
name=3B107;length=542;width=126;profit=16321
name=3B108;length=238;width=540;profit=31980
name=3B109;length=128;width=122;profit=2499
name=3B110;length=1025;width=2787;profit=981590
name=3B111;length=9098;width=8726;profit=32994585
name=3B112;length=5468;width=3524;profit=7890292
name=3B113;length=1264;width=4522;profit=2266779
name=3B114;length=2354;width=1294;profit=1127714
name=3B115;length=1697;width=2545;profit=1645088
name=3B116;length=2547;width=5003;profit=5113891
name=3B117;length=588;width=892;profit=172884
name=3B118;length=564;width=894;profit=150983
name=3B119;length=566;width=1020;profit=189097
name=3B120;length=1255;width=2013;profit=978306
name=3B121;length=2015;width=1253;profit=939744
name=3B122;length=1254;width=1298;profit=617226
name=3B123;length=2351;width=2365;profit=2112365
name=3B124;length=2502;width=2506;profit=2467194
name=3B125;length=1298;width=2364;profit=1183285
name=3B126;length=298;width=132;profit=9834
name=3B127;length=352;width=128;profit=9283
name=3B128;length=438;width=830;profit=90885
name=3B129;length=123;width=739;profit=17154
name=3B130;length=332;width=1104;profit=85005
name=3B131;length=498;width=732;profit=111549
name=3B132;length=268;width=328;profit=19905
name=3B133;length=794;width=108;profit=21438
name=3B134;length=248;width=644;profit=35566
name=3B135;length=532;width=394;profit=54498
name=3B136;length=162;width=384;profit=13700
name=3B137;length=478;width=216;profit=21879
name=3B138;length=210;width=266;profit=12848
name=3B139;length=326;width=148;profit=10283
name=3B140;length=926;width=296;profit=63422
name=3B141;length=1436;width=136;profit=45829
name=3B142;length=1064;width=1206;profit=453899
name=3B143;length=726;width=602;profit=151287
name=3B144;length=322;width=356;profit=24599
name=3B145;length=146;width=230;profit=6210
name=3B146;length=644;width=114;profit=10305
name=3B147;length=574;width=778;profit=132458
name=3B148;length=254;width=392;profit=19954
name=3B149;length=458;width=626;profit=100348
name=3B150;length=626;width=196;profit=25257
name=4B1;length=28;width=80;profit=448
name=4B2;length=48;width=188;profit=1354
name=4B3;length=256;width=358;profit=19909
name=4B4;length=444;width=566;profit=60313
name=4B5;length=2588;width=254;profit=230073
name=4B6;length=256;width=4502;profit=285825
name=4B7;length=2002;width=322;profit=196199
name=4B8;length=3028;width=1002;profit=1146763
name=4B9;length=802;width=654;profit=179578
name=4B10;length=364;width=388;profit=32019
name=4B11;length=532;width=2490;profit=400790
name=4B12;length=534;width=2320;profit=379835
name=4B13;length=536;width=632;profit=107547
name=4B14;length=522;width=436;profit=52029
name=4B15;length=904;width=2098;profit=650848
name=4B16;length=764;width=2224;profit=625691
name=4B17;length=832;width=392;profit=77399
name=4B18;length=2110;width=5548;profit=4552038
name=4B19;length=698;width=232;profit=37375
name=4B20;length=456;width=322;profit=32671
name=4B21;length=1532;width=1490;profit=809241
name=4B22;length=1532;width=1320;profit=728198
name=4B23;length=1534;width=1632;profit=930613
name=4B24;length=1522;width=1436;profit=790114
name=4B25;length=1904;width=1098;profit=820584
name=4B26;length=1764;width=1224;profit=789643
name=4B27;length=1832;width=1392;profit=973540
name=4B28;length=1110;width=1548;profit=596512
name=4B29;length=1698;width=1232;profit=748784
name=4B30;length=1456;width=1322;profit=696549
name=4B31;length=3532;width=1490;profit=1979382
name=4B32;length=3532;width=1320;profit=1813257
name=4B33;length=3536;width=1632;profit=2275157
name=4B34;length=3522;width=1436;profit=1917414
name=4B35;length=3904;width=1098;profit=1683806
name=4B36;length=3764;width=1224;profit=1767968
name=4B37;length=3832;width=1392;profit=2048327
name=4B38;length=3110;width=1548;profit=1847022
name=4B39;length=3698;width=1232;profit=1743903
name=4B40;length=3456;width=1322;profit=1790770
name=4B41;length=1532;width=2490;profit=1409567
name=4B42;length=1532;width=2320;profit=1314699
name=4B43;length=1532;width=2632;profit=1480105
name=4B44;length=1522;width=2436;profit=1378027
name=4B45;length=1904;width=2098;profit=1540145
name=4B46;length=1764;width=2224;profit=1489858
name=4B47;length=1832;width=2392;profit=1734453
name=4B48;length=1110;width=2548;profit=1028374
name=4B49;length=1698;width=2232;profit=1455691
name=4B50;length=1456;width=2322;profit=1269243
name=4B51;length=436;width=1490;profit=155823
name=4B52;length=232;width=1320;profit=70435
name=4B53;length=237;width=931;profit=54989
name=4B54;length=822;width=636;profit=177003
name=4B55;length=1004;width=1094;profit=371010
name=4B56;length=2694;width=1220;profit=1236139
name=4B57;length=632;width=894;profit=190281
name=4B58;length=1110;width=346;profit=133645
name=4B59;length=599;width=531;profit=133618
name=4B60;length=658;width=920;profit=200870
name=4B61;length=730;width=1830;profit=491710
name=4B62;length=823;width=1739;profit=505036
name=4B63;length=932;width=1108;profit=352788
name=4B64;length=598;width=732;profit=157978
name=4B65;length=562;width=1322;profit=224511
name=4B66;length=1794;width=1008;profit=694217
name=4B67;length=1248;width=748;profit=334691
name=4B68;length=936;width=892;profit=270217
name=4B69;length=362;width=182;profit=11628
name=4B70;length=379;width=199;profit=12086
name=4B71;length=410;width=164;profit=13419
name=4B72;length=424;width=148;profit=12356
name=4B73;length=426;width=296;profit=27609
name=4B74;length=438;width=116;profit=12702
name=4B75;length=464;width=1006;profit=142003
name=4B76;length=520;width=206;profit=24638
name=4B77;length=521;width=349;profit=43681
name=4B78;length=541;width=529;profit=71551
name=4B79;length=548;width=1412;profit=238526
name=4B80;length=548;width=1882;profit=331957
name=4B81;length=552;width=496;profit=76662
name=4B82;length=554;width=754;profit=126529
name=4B83;length=557;width=495;profit=76664
name=4B84;length=558;width=654;profit=111101
name=4B85;length=570;width=478;profit=65252
name=4B86;length=572;width=592;profit=85625
name=4B87;length=574;width=978;profit=181388
name=4B88;length=576;width=1176;profit=207974
name=4B89;length=578;width=1574;profit=287112
name=4B90;length=580;width=1390;profit=246438
name=4B91;length=590;width=1490;profit=273717
name=4B92;length=600;width=1590;profit=400858
name=4B93;length=620;width=1690;profit=410717
name=4B94;length=662;width=1034;profit=224193
name=4B95;length=724;width=1724;profit=460598
name=4B96;length=1526;width=1446;profit=790586
name=4B97;length=1858;width=2648;profit=2028541
name=4B98;length=1728;width=464;profit=249107
name=4B99;length=928;width=1674;profit=542178
name=4B100;length=2028;width=932;profit=659519
name=4B101;length=1022;width=1638;profit=566890
name=4B102;length=752;width=746;profit=187401
name=4B103;length=928;width=914;profit=272364
name=4B104;length=2006;width=566;profit=426557
name=4B105;length=1024;width=1892;profit=654857
name=4B106;length=1376;width=1932;profit=1014115
name=4B107;length=724;width=1750;profit=460599
name=4B108;length=2098;width=946;profit=686343
name=4B109;length=1238;width=1204;profit=580541
name=4B110;length=1026;width=764;profit=256859
name=4B111;length=1736;width=932;profit=577771
name=4B112;length=996;width=2532;profit=859478
name=4B113;length=1967;width=2421;profit=1832164
name=4B114;length=2828;width=1942;profit=2089957
name=4B115;length=1534;width=1788;profit=1003147
name=4B116;length=432;width=738;profit=75741
name=4B117;length=733;width=821;profit=197093
name=4B118;length=637;width=931;profit=197995
name=4B119;length=824;width=596;profit=162022
name=4B120;length=1005;width=567;profit=185631
name=4B121;length=466;width=792;profit=115561
name=4B122;length=932;width=648;profit=202397
name=4B123;length=2110;width=932;profit=686813
name=4B124;length=600;width=560;profit=133620
name=4B125;length=658;width=726;profit=166055
name=4B126;length=924;width=3722;profit=1228152
name=4B127;length=1490;width=1830;profit=1008797
name=4B128;length=1321;width=1739;profit=881117
name=4B129;length=933;width=2099;profit=670277
name=4B130;length=639;width=731;profit=162711
name=4B131;length=1095;width=1321;profit=514445
name=4B132;length=1222;width=2402;profit=1148981
name=4B133;length=895;width=745;profit=214348
name=4B134;length=544;width=894;profit=144193
name=4B135;length=532;width=2132;profit=353401
name=4B136;length=453;width=641;profit=67919
name=4B137;length=724;width=1264;profit=324202
name=4B138;length=928;width=678;profit=206050
name=4B139;length=828;width=632;profit=172768
name=4B140;length=725;width=937;profit=215327
name=4B141;length=754;width=444;profit=76330
name=4B142;length=928;width=316;profit=93236
name=4B143;length=2008;width=892;profit=649753
name=4B144;length=577;width=1931;profit=362628
name=4B145;length=727;width=1749;profit=476080
name=4B146;length=1974;width=946;profit=648595
name=4B147;length=1239;width=1205;profit=580543
name=4B148;length=1228;width=762;profit=336842
name=4B149;length=1732;width=932;profit=577769
name=4B150;length=993;width=2531;profit=856069
name=4B151;length=562;width=2420;profit=412753
name=4B152;length=724;width=1944;profit=497181
name=4B153;length=1538;width=788;profit=418467
name=4B154;length=649;width=1231;profit=295484
name=4B155;length=1026;width=892;profit=290332
name=4B156;length=2366;width=248;profit=145547
name=4B157;length=542;width=128;profit=16325
name=4B158;length=237;width=541;profit=31979
name=4B159;length=128;width=1266;profit=39687
name=4B160;length=1026;width=2786;profit=981607
name=4B161;length=9096;width=8726;profit=32985767
name=4B162;length=5469;width=3523;profit=7890292
name=4B163;length=1266;width=4526;profit=2266969
name=4B164;length=2354;width=1296;profit=1127715
name=4B165;length=2694;width=2548;profit=2642084
name=4B166;length=2544;width=5004;profit=5113889
name=4B167;length=587;width=893;profit=172883
name=4B168;length=568;width=898;profit=172427
name=4B169;length=565;width=1021;profit=168755
name=4B170;length=1254;width=2016;profit=980511
name=4B171;length=2016;width=1254;profit=941527
name=4B172;length=1258;width=1298;profit=618780
name=4B173;length=2350;width=2364;profit=2111834
name=4B174;length=2504;width=2504;profit=2477805
name=4B175;length=1297;width=2365;profit=1183265
name=4B176;length=299;width=131;profit=9835
name=4B177;length=358;width=124;profit=9281
name=4B178;length=439;width=829;profit=90886
name=4B179;length=122;width=740;profit=17153
name=4B180;length=332;width=1108;profit=85548
name=4B181;length=499;width=731;profit=111549
name=4B182;length=266;width=326;profit=16967
name=4B183;length=796;width=106;profit=18563
name=4B184;length=248;width=646;profit=35567
name=4B185;length=536;width=396;profit=54499
name=4B186;length=1666;width=1388;profit=864360
name=4B187;length=478;width=218;profit=21883
name=4B188;length=210;width=268;profit=12849
name=4B189;length=2322;width=148;profit=74887
name=4B190;length=2924;width=296;profit=251109
name=4B191;length=1438;width=136;profit=45830
name=4B192;length=1065;width=1205;profit=453899
name=4B193;length=1728;width=602;profit=346374
name=4B194;length=322;width=2358;profit=179756
name=4B195;length=148;width=230;profit=6211
name=4B196;length=648;width=2116;profit=546129
name=4B197;length=1578;width=1776;profit=1007445
name=4B198;length=1254;width=394;profit=145554
name=4B199;length=1458;width=626;profit=325739
name=4B200;length=624;width=196;profit=25247
