name=LX4;stock_length=45237;stock_width=35983;item_number=200;optimum=566205113

name=B1;length=28;width=80;profit=448
name=B169;length=564;width=1022;profit=153327
name=B170;length=1254;width=2016;profit=718167
name=B171;length=2016;width=1254;profit=687323
name=B172;length=1258;width=1298;profit=466880
name=B173;length=2350;width=2364;profit=1586732
name=B174;length=2504;width=2504;profit=1841981
name=B175;length=1296;width=2366;profit=858119
name=B176;length=298;width=132;profit=7080
name=B177;length=358;width=124;profit=8434
name=B178;length=438;width=830;profit=88915
name=B179;length=122;width=740;profit=17153
name=B180;length=332;width=1108;profit=70871
name=B181;length=498;width=732;profit=84277
name=B182;length=266;width=326;profit=16129
name=B183;length=796;width=106;profit=18563
name=B184;length=248;width=646;profit=29599
name=B185;length=536;width=396;profit=53064
name=B186;length=1666;width=1388;profit=637772
name=B187;length=478;width=218;profit=21883
name=B188;length=210;width=268;profit=11256
name=B189;length=2322;width=148;profit=65304
name=B190;length=2924;width=296;profit=248354
name=B191;length=1438;width=136;profit=39899
name=B192;length=1064;width=1206;profit=346066
name=B193;length=1728;width=602;profit=274284
name=B194;length=322;width=2358;profit=159186
name=B195;length=148;width=230;profit=5446
name=B196;length=648;width=2116;profit=356110
name=B197;length=1578;width=1776;profit=791879
name=B198;length=1254;width=394;profit=106831
name=B199;length=1458;width=626;profit=227776
name=B200;length=624;width=196;profit=25247
