name=LW4;stock_length=45237;stock_width=35983;item_number=200;optimum=566102201

name=B1;length=28;width=80;profit=448
name=B91;length=590;width=1490;profit=158238
name=B92;length=600;width=1590;profit=181260
name=B93;length=620;width=1690;profit=209560
name=B94;length=662;width=1034;profit=136902
name=B95;length=724;width=1724;profit=249635
name=B96;length=1526;width=1446;profit=441319
name=B97;length=1858;width=2648;profit=1131596
name=B98;length=1728;width=464;profit=184412
name=B99;length=928;width=1674;profit=388368
name=B100;length=2028;width=932;profit=453623
name=B101;length=1022;width=1638;profit=200884
name=B102;length=752;width=746;profit=140248
name=B103;length=926;width=916;profit=169643
name=B104;length=2006;width=566;profit=227079
name=B105;length=1024;width=1892;profit=387482
name=B106;length=1376;width=1932;profit=531686
name=B107;length=724;width=1750;profit=253400
name=B108;length=2098;width=946;profit=595412
name=B109;length=1238;width=1204;profit=447166
name=B110;length=1026;width=764;profit=235159
name=B111;length=1736;width=932;profit=485386
name=B112;length=996;width=2532;profit=529593
name=B113;length=1966;width=2422;profit=523782
name=B114;length=2828;width=1942;profit=659037
name=B115;length=1534;width=1788;profit=356563
name=B116;length=432;width=738;profit=44634
name=B117;length=732;width=822;profit=90256
name=B118;length=636;width=932;profit=88913
name=B119;length=822;width=598;profit=78649
name=B120;length=1004;width=568;profit=85541
name=B121;length=466;width=792;profit=92268
name=B122;length=932;width=648;profit=120787
name=B123;length=2110;width=932;profit=412969
name=B124;length=598;width=562;profit=63854
name=B125;length=658;width=726;profit=85987
name=B126;length=924;width=3722;profit=481478
name=B127;length=1490;width=1830;profit=436272
name=B128;length=1320;width=1740;profit=27562
name=B129;length=932;width=2100;profit=254436
name=B130;length=638;width=732;profit=60712
name=B131;length=1094;width=1322;profit=188015
name=B132;length=1222;width=2402;profit=381582
name=B133;length=894;width=746;profit=86700
name=B134;length=544;width=894;profit=63224
name=B135;length=532;width=2132;profit=147449
name=B136;length=452;width=642;profit=37724
name=B137;length=724;width=1264;profit=183027
name=B138;length=928;width=678;profit=132129
name=B139;length=828;width=632;profit=73261
name=B140;length=724;width=938;profit=101867
name=B141;length=754;width=444;profit=63607
name=B142;length=928;width=316;profit=61582
name=B143;length=2006;width=894;profit=358673
name=B144;length=576;width=1932;profit=233695
name=B145;length=726;width=1750;profit=165165
name=B146;length=1974;width=946;profit=298785
name=B147;length=1238;width=1206;profit=223954
name=B148;length=1228;width=762;profit=140360
name=B149;length=1732;width=932;profit=258276
name=B150;length=992;width=2532;profit=401879
name=B151;length=562;width=2420;profit=217606
name=B152;length=724;width=1944;profit=225193
name=B153;length=1538;width=788;profit=169672
name=B154;length=648;width=1232;profit=119750
name=B155;length=1026;width=892;profit=137279
name=B156;length=2366;width=248;profit=70412
name=B157;length=542;width=128;profit=9019
name=B158;length=236;width=542;profit=20466
name=B159;length=128;width=1266;profit=25928
name=B160;length=1026;width=2786;profit=457350
name=B161;length=9096;width=8726;profit=11905754
name=B162;length=5468;width=3524;profit=2312308
name=B163;length=1266;width=4526;profit=744889
name=B164;length=2354;width=1296;profit=396602
name=B165;length=2694;width=2548;profit=1098290
name=B166;length=2544;width=5004;profit=2036828
name=B167;length=586;width=894;profit=78583
name=B168;length=568;width=898;profit=71409
name=B169;length=564;width=1022;profit=80697
name=B170;length=1254;width=2016;profit=404490
name=B171;length=2016;width=1254;profit=379210
name=B172;length=1258;width=1298;profit=261261
name=B173;length=2350;width=2364;profit=666648
name=B174;length=2504;width=2504;profit=1128603
name=B175;length=1296;width=2366;profit=582604
name=B176;length=298;width=132;profit=7080
name=B177;length=358;width=124;profit=8434
name=B178;length=438;width=830;profit=65437
name=B179;length=122;width=740;profit=17153
name=B180;length=332;width=1108;profit=44143
name=B181;length=498;width=732;profit=47390
name=B182;length=266;width=326;profit=13007
name=B183;length=796;width=106;profit=18563
name=B184;length=248;width=646;profit=19225
name=B185;length=536;width=396;profit=53064
name=B186;length=1666;width=1388;profit=554978
name=B187;length=478;width=218;profit=21883
name=B188;length=210;width=268;profit=11256
name=B189;length=2322;width=148;profit=65295
name=B190;length=2924;width=296;profit=155791
name=B191;length=1438;width=136;profit=33247
name=B192;length=1064;width=1206;profit=205309
name=B193;length=1728;width=602;profit=156038
name=B194;length=322;width=2358;profit=106299
name=B195;length=148;width=230;profit=5446
name=B196;length=648;width=2116;profit=205675
name=B197;length=1578;width=1776;profit=448404
name=B198;length=1254;width=394;profit=98815
name=B199;length=1458;width=626;profit=164287
name=B200;length=624;width=196;profit=23238
